taxon,trnT-trnL_spacer,trnL_intron,trnL-trnF_spacer,psbA-trnH,rpl16
Calochortus_albus_var_albus,AY430487,AY430559,AY430630,AY430703,AY430776
Calochortus_albus_var_rubellus,AY430488,AY430560,AY430631,AY430704,
Calochortus_amabilis,AY430489,AY430561,AY430632,AY430705,AY430777
Calochortus_amoenus,AY430490,AY430562,AY430633,AY430706,AY430778
Calochortus_pulchellus,AY430507,AY430579,AY430650,AY430723,
Calochortus_raichei,AY430508,AY430580,AY430651,AY430724,
Calochortus_apiculatus_Idaho,AY430491,AY430563,AY430634,AY430707,AY430779
Calochortus_apiculatus_California,AY430492,AY430564,AY430635,AY430708,
Calochortus_coeruleus,AY430493,AY430565,AY430636,AY430709,AY430780
Calochortus_elegans,AY430495,AY430567,AY430638,AY430711,AY430781
Calochortus_monophyllus,AY430502,AY430574,AY430645,AY430718,AY430783
Calochortus_subalpinus,AY430509,AY430581,AY430652,AY430725,
Calochortus_tolmiei,AY430511,AY430583,AY430654,AY430727,
Calochortus_westonii,AY430515,AY430587,AY430658,AY430731,
Calochortus_minimus,AY430501,AY430573,AY430644,AY430717,
Calochortus_nudus,AY430504,AY430576,AY430647,AY430720,
Calochortus_nudus_x_Calochortus_minimus,AY430505,AY430577,AY430648,AY430721,
Calochortus_umbellatus,AY430512,AY430584,AY430655,AY430728,
Calochortus_uniflorus,AY430514,AY430586,AY430657,AY430730,
Calochortus_coxii,AY430494,AY430566,AY430637,AY430710,
Calochortus_eurycarpus,AY430496,AY430568,AY430639,AY430712,
Calochortus_greenei,AY430497,AY430569,AY430640,AY430713,
Calochortus_howellii,AY430498,AY430570,AY430641,AY430714,AY430782
Calochortus_longebarbatus,AY430499,AY430571,AY430642,AY430715,
Calochortus_lyallii,AY430500,AY430572,AY430643,AY430716,
Calochortus_nitidus,AY430503,AY430575,AY430646,AY430719,
Calochortus_persistens,AY430506,AY430578,AY430649,AY430722,AY430784,
Calochortus_tiburonensis,AY430510,AY430582,AY430653,AY430726,AY430785,
Calochortus_umpquaensis,AY430513,AY430585,AY430656,AY430729,AY430786,
Calochortus_argillosus,AY430522,AY430594,AY430665,AY430738,
Calochortus_catalinae,AY430533,AY430598,AY430669,AY430742,AY430791,
Calochortus_davidsonianus,AY430528,,AY430672,AY430745,
Calochortus_dunnii,AY430529,AY430601,AY430673,AY430746,AY430794,
Calochortus_flexuosus,AY430531,AY430603,AY430675,AY430748,AY430795,
Calochortus_leichtlinii,AY430534,AY430606,AY430678,AY430751,
Calochortus_luteus,AY430535,AY430607,AY430679,AY430752,AY430797,
Calochortus_macrocarpus,AY430536,AY430608,AY430680,AY430753,
Calochortus_palmeri,AY430539,AY430611,AY430683,AY430756,
Calochortus_splendens,AY430540,AY430612,AY430684,AY430757,AY430799,
Calochortus_superbus,AY430541,AY430613,AY430685,AY430758,AY430800,
Calochortus_venustus,AY430542,AY430614,AY430686,AY430759,AY430801,
Calochortus_vestae,AY430543,AY430615,AY430687,AY430760,
Calochortus_aureus,AY430523,AY430595,AY430666,AY430739,
Calochortus_bruneaunis_California,AY430524,AY430596,AY430667,AY430740,
Calochortus_bruneaunis_Nevada,AY430525,AY430597,AY430668,AY430741,AY430790,
Calochortus_clavatus,AY430527,AY430599,AY430670,AY430743,AY430792,,
Calochortus_concolor,,AY430600,AY430671,AY430744,AY430793,
Calochortus_excavatus,AY430530,AY430602,AY430674,AY430747,
Calochortus_kennedyi,AY430526,AY430605,AY430677,AY430750,
Calochortus_nuttallii_Nevada,AY430537,AY430609,AY430681,AY430754,
Calochortus_nuttallii_Utah,AY430538,AY430610,AY430682,AY430755,AY430798,
Calochortus_ambiguus,AY430521,AY430593,AY430664,AY430737,AY430789,
Calochortus_gunnisoni,AY430532,AY430604,AY430676,AY430749,AY430796,
Calochortus_plummerae,AY430517,AY430589,AY430660,AY430733,
Calochortus_weedii,AY430518,AY430590,AY430661,AY430734,AY430788,
Calochortus_weedii_var_intermedius,AY430519,AY430591,AY430662,AY430735,
Calochortus_weedii_var_venustus,AY430520,AY430592,AY430663,AY430736,
Calochortus_obispoensis,AY430516,AY430588,AY430659,AY430732,AY430787,
Calochortus_exilis,AY430547,AY430619,AY430691,AY430764,AY430804,
Calochortus_fuscus,AY430548,AY430620,AY430692,AY430765,AY430805,
Calochortus_ghiesbreghtii,AY430549,AY430621,AY430693,AY430766,
Calochortus_ownbeyi_coastal_Mexico,AY430552,AY430624,AY430696,AY430769,AY430806,
Calochortus_ownbeyi_interior_Mexico,AY430553,AY430625,AY430697,AY430770,
Calochortus_venustulus,AY430557,AY430629,AY430701,AY430774,AY430808,
Calochortus_balsensis,AY430544,AY430616,AY430688,AY430761,AY430802,
Calochortus_barbatus,AY430545,AY430617,AY430689,AY430762,
Calochortus_marcellae,AY430550,AY430622,AY430694,AY430767,
Calochortus_nigrescens,AY430551,AY430623,AY430695,AY430768,
Calochortus_pringlei,AY430554,AY430626,AY430698,AY430771,
Calochortus_spatulatus,AY430556,AY430628,AY430700,AY430773,AY430807,
Calochortus_cernuus,AY430546,AY430618,AY430690,AY430763,AY430803,
Calochortus_purpureus,AY430555,AY430627,AY430699,AY430772,
Tricyrtis_latifolia,AY430558,,,AY430702,AY430775,AY430809,
