taxon,trnS–trnG,trnT–trnL,trnL_intron
Argyrolobium_uniflorum,EU341592,EU341593,EU341594
Chamaecytisus_albidus,DQ416809,DQ416906,DQ417003
Genista_tinctoria,DQ416807,DQ416904,DQ417001
Laburnum_anagyroides,DQ416810,DQ416906,DQ417004
Spartium_junceum,DQ416808,DQ416905,DQ417002
Lupinus_albicaulis_A,DQ416887,DQ416984,DQ417081
Lupinus_albicaulis_B,DQ416886,DQ416983,DQ417080
Lupinus_albifrons,DQ416897,DQ416994,DQ417091
Lupinus_albus,DQ416811,DQ416908,DQ417005
Lupinus_angustifolius,DQ416812,DQ416909,DQ417006
Lupinus_arboreus,DQ416889,DQ416986,DQ417083
Lupinus_argenteus_A,DQ416895,DQ416992,DQ417089
Lupinus_argenteus_B,DQ416894,DQ416991,DQ417088
Lupinus_arizonicus_A,DQ416857,DQ416954,DQ417051
Lupinus_arizonicus_B,DQ416858,DQ416955,DQ417052
Lupinus_atlanticus,DQ416813,DQ416910,DQ417007
Lupinus_ballianus,DQ416875,DQ416972,DQ417069
Lupinus_bandelierae,DQ416827,DQ416924,DQ417021
Lupinus_benthamii,DQ416856,DQ416953,DQ417050
Lupinus_bicolor_A,DQ416882,DQ416979,DQ417076
Lupinus_bicolor_B,DQ416883,DQ416980,DQ417077
Lupinus_brevicaulis,DQ416828,DQ416925,DQ417022
Lupinus_cervinus,DQ416888,DQ416985,DQ417082
Lupinus_chachas,DQ416874,DQ416971,DQ417068
Lupinus_chamissonis,DQ416890,DQ416987,DQ417084
Lupinus_chrysanthus,DQ416880,DQ416977,DQ417074
Lupinus_citrinus,DQ416851,DQ416948,DQ417045
Lupinus_concinnus,DQ416853,DQ416950,DQ417047
Lupinus_cosentinii,DQ416814,DQ416911,DQ417008
Lupinus_cumulicola,DQ416822,DQ416919,DQ417016
Lupinus_digitatus,DQ416817,DQ416914,DQ417011
Lupinus_elegans,DQ416865,DQ416962,DQ417059
Lupinus_formosus,DQ416898,DQ416995,DQ417092
Lupinus_grayi,DQ416901,DQ416998,DQ417095
Lupinus_guadalupensis,DQ416862,DQ416959,DQ417056
Lupinus_havardii,DQ416825,DQ416922,DQ417019
Lupinus_hirsutissimus,DQ416852,DQ416949,DQ417046
Lupinus_hispanicus,DQ416819,DQ416916,DQ417013
Lupinus_huaronensis,DQ416878,DQ416975,DQ417072
Lupinus_latifolius,DQ416900,DQ416997,DQ417094
Lupinus_lepidus_A,DQ416893,DQ416990,DQ417087
Lupinus_lepidus_B,DQ416892,DQ416989,DQ417086
Lupinus_luteolus_A,DQ416841,DQ416938,DQ417035
Lupinus_luteolus_B,DQ416842,DQ416939,DQ417036
Lupinus_luteus,DQ416818,DQ416915,DQ417012
Lupinus_mantaroensis,DQ416871,DQ416968,DQ417065
Lupinus_mexicanus_A,DQ416866,DQ416963,DQ417060
Lupinus_mexicanus_B,DQ416867,DQ416964,DQ417061
Lupinus_microcarpus_A,DQ416848,DQ416945,DQ417042
Lupinus_microcarpus_B,DQ416846,DQ416943,DQ417040
Lupinus_microcarpus_C,DQ416838,DQ416935,DQ417032
Lupinus_microcarpus_D,DQ416843,DQ416940,DQ417037
Lupinus_microcarpus_E,DQ416844,DQ416941,DQ417038
Lupinus_microcarpus_F,DQ416845,DQ416942,DQ417039
Lupinus_microcarpus_G,DQ416836,DQ416933,DQ417030
Lupinus_microcarpus_H,DQ416839,DQ416936,DQ417033
Lupinus_microcarpus_I,DQ416832,DQ416929,DQ417026
Lupinus_microcarpus_J,DQ416847,DQ416944,DQ417041
Lupinus_microcarpus_K,DQ416833,DQ416930,DQ417027
Lupinus_microcarpus_L,DQ416849,DQ416946,DQ417043
Lupinus_microcarpus_M,DQ416834,DQ416931,DQ417028
Lupinus_microcarpus_N,DQ416840,DQ416937,DQ417034
Lupinus_microcarpus_O,DQ416850,DQ416947,DQ417044
Lupinus_microcarpus_P,DQ416835,DQ416932,DQ417029
Lupinus_microcarpus_Q,DQ416837,DQ416934,DQ417031
Lupinus_multiflorus,DQ416826,DQ416923,DQ417020
Lupinus_mutabilis_A,DQ416870,DQ416967,DQ417064
Lupinus_mutabilis_B,DQ416868,DQ416965,DQ417062
Lupinus_nanus_A,DQ416885,DQ416982,DQ417079
Lupinus_nanus_B,DQ416884,DQ416981,DQ417078
Lupinus_nevadensis,DQ416896,DQ416993,DQ417090
Lupinus_odoratus,DQ416830,DQ416927,DQ417024
Lupinus_pachylobus,DQ416881,DQ416978,DQ417075
Lupinus_palaestinus,DQ416816,DQ416913,DQ417010
Lupinus_perennis_A,DQ416864,DQ416961,DQ417058
Lupinus_perennis_B,DQ416863,DQ416960,DQ417057
Lupinus_pilosus,DQ416815,DQ416912,DQ417009
Lupinus_piurensis,DQ416872,DQ416969,DQ417066
Lupinus_polyphyllus_A,DQ416899,DQ416996,DQ417093
Lupinus_polyphyllus_B,DQ416902,DQ416999,DQ417096
Lupinus_polyphyllus_C,DQ416903,DQ417000,DQ417097
Lupinus_prostratus,DQ416877,DQ416974,DQ417071
Lupinus_semperflorens,DQ416876,DQ416973,DQ417070
Lupinus_shockleyi,DQ416831,DQ416928,DQ417025
Lupinus_sparsiflorus,DQ416855,DQ416952,DQ417049
Lupinus_stiversii,DQ416861,DQ416958,DQ417055
Lupinus_succulentus_A,DQ416859,DQ416956,DQ417053
Lupinus_succulentus_B,DQ416860,DQ416957,DQ417054
Lupinus_tegeticulatus,DQ416891,DQ416988,DQ417085
Lupinus_texensis_A,DQ416824,DQ416921,DQ417018
Lupinus_texensis_B,DQ416823,DQ416920,DQ417017
Lupinus_truncatus,DQ416854,DQ416951,DQ417048
Lupinus_uncialis,DQ416829,DQ416926,DQ417023
Lupinus_villosus_A,DQ416821,DQ416918,DQ417015
Lupinus_villosus_B,DQ416820,DQ416917,DQ417014
Lupinus_weberbaueri,DQ416879,DQ416976,DQ417073
Lupinus_sp.h_A,DQ416869,DQ416966,DQ417063
Lupinus_sp.h_B,DQ416873,DQ416970,DQ417067
