Taxon,trnS–trnG,trnT–trnL,trnL intron
Argyrolobium uniflorum,EU341592,EU341593,EU341594
Chamaecytisus albidus,DQ416809,DQ416906,DQ417003
Genista tinctoria,DQ416807,DQ416904,DQ417001
Laburnum anagyroides,DQ416810,DQ416906,DQ417004
Spartium junceum,DQ416808,DQ416905,DQ417002
L. albicaulis A,DQ416887,DQ416984,DQ417081
L. albicaulis B,DQ416886,DQ416983,DQ417080
L. albifrons,DQ416897,DQ416994,DQ417091
L. albus,DQ416811,DQ416908,DQ417005
L. angustifolius,DQ416812,DQ416909,DQ417006
L. arboreus,DQ416889,DQ416986,DQ417083
L. argenteus A,DQ416895,DQ416992,DQ417089
L. argenteus B,DQ416894,DQ416991,DQ417088
L. arizonicus A,DQ416857,DQ416954,DQ417051
L. arizonicus B,DQ416858,DQ416955,DQ417052
L. atlanticus ,DQ416813,DQ416910,DQ417007
L. ballianus,DQ416875,DQ416972,DQ417069
L. bandelierae,DQ416827,DQ416924,DQ417021
L. benthamii,DQ416856,DQ416953,DQ417050
L. bicolor A,DQ416882,DQ416979,DQ417076
L. bicolor B,DQ416883,DQ416980,DQ417077
L. brevicaulis,DQ416828,DQ416925,DQ417022
L. cervinus,DQ416888,DQ416985,DQ417082
L. chachas,DQ416874,DQ416971,DQ417068
L. chamissonis,DQ416890,DQ416987,DQ417084
L. chrysanthus,DQ416880,DQ416977,DQ417074
L. citrinus,DQ416851,DQ416948,DQ417045
L. concinnus,DQ416853,DQ416950,DQ417047
L. cosentinii,DQ416814,DQ416911,DQ417008
L. cumulicola,DQ416822,DQ416919,DQ417016
L. digitatus,DQ416817,DQ416914,DQ417011
L. elegans,DQ416865,DQ416962,DQ417059
L. formosus,DQ416898,DQ416995,DQ417092
L. grayi,DQ416901,DQ416998,DQ417095
L. guadalupensis,DQ416862,DQ416959,DQ417056
L. havardii,DQ416825,DQ416922,DQ417019
L. hirsutissimus,DQ416852,DQ416949,DQ417046
L. hispanicus,DQ416819,DQ416916,DQ417013
L. huaronensis,DQ416878,DQ416975,DQ417072
L. latifolius,DQ416900,DQ416997,DQ417094
L. lepidus A,DQ416893,DQ416990,DQ417087
L. lepidus B,DQ416892,DQ416989,DQ417086
L. luteolus A,DQ416841,DQ416938,DQ417035
L. luteolus B,DQ416842,DQ416939,DQ417036
L. luteus,DQ416818,DQ416915,DQ417012
L. mantaroensis,DQ416871,DQ416968,DQ417065
L. mexicanus A,DQ416866,DQ416963,DQ417060
L. mexicanus B,DQ416867,DQ416964,DQ417061
L. microcarpus A,DQ416848,DQ416945,DQ417042
L. microcarpus B,DQ416846,DQ416943,DQ417040
L. microcarpus C,DQ416838,DQ416935,DQ417032
L. microcarpus D,DQ416843,DQ416940,DQ417037
L. microcarpus E,DQ416844,DQ416941,DQ417038
L. microcarpus F,DQ416845,DQ416942,DQ417039
L. microcarpus G,DQ416836,DQ416933,DQ417030
L. microcarpus H,DQ416839,DQ416936,DQ417033
L. microcarpus I,DQ416832,DQ416929,DQ417026
L. microcarpus J,DQ416847,DQ416944,DQ417041
L. microcarpus K,DQ416833,DQ416930,DQ417027
L. microcarpus L,DQ416849,DQ416946,DQ417043
L. microcarpus M,DQ416834,DQ416931,DQ417028
L. microcarpus N,DQ416840,DQ416937,DQ417034
L. microcarpus O,DQ416850,DQ416947,DQ417044
L. microcarpus P,DQ416835,DQ416932,DQ417029
L. microcarpus Q,DQ416837,DQ416934,DQ417031
L. multiflorus,DQ416826,DQ416923,DQ417020
L. mutabilis Sweet A,DQ416870,DQ416967,DQ417064
L. mutabilis Sweet B,DQ416868,DQ416965,DQ417062
L. nanus Douglas A,DQ416885,DQ416982,DQ417079
L. nanus Douglas B,DQ416884,DQ416981,DQ417078
L. nevadensis,DQ416896,DQ416993,DQ417090
L. odoratus,DQ416830,DQ416927,DQ417024
L. pachylobus,DQ416881,DQ416978,DQ417075
L. palaestinus,DQ416816,DQ416913,DQ417010
L. perennis A,DQ416864,DQ416961,DQ417058
L. perennis B,DQ416863,DQ416960,DQ417057
L. pilosus,DQ416815,DQ416912,DQ417009
L. piurensis,DQ416872,DQ416969,DQ417066
L. polyphyllus A,DQ416899,DQ416996,DQ417093
L. polyphyllus B,DQ416902,DQ416999,DQ417096
L. polyphyllus C,DQ416903,DQ417000,DQ417097
L. prostratus,DQ416877,DQ416974,DQ417071
L. semperflorens,DQ416876,DQ416973,DQ417070
L. shockleyi,DQ416831,DQ416928,DQ417025
L. sparsiflorus,DQ416855,DQ416952,DQ417049
L. stiversii,DQ416861,DQ416958,DQ417055
L. succulentus A,DQ416859,DQ416956,DQ417053
L. succulentus B,DQ416860,DQ416957,DQ417054
L. tegeticulatus,DQ416891,DQ416988,DQ417085
L. texensis Hooker A,DQ416824,DQ416921,DQ417018
L. texensis Hooker B,DQ416823,DQ416920,DQ417017
L. truncatus,DQ416854,DQ416951,DQ417048
L. uncialis,DQ416829,DQ416926,DQ417023
L. villosus A,DQ416821,DQ416918,DQ417015
L. villosus B,DQ416820,DQ416917,DQ417014
L. weberbaueri,DQ416879,DQ416976,DQ417073
Lupinus sp.h,DQ416869,DQ416966,DQ417063
Lupinus sp.h,DQ416873,DQ416970,DQ417067
