taxon,trnG–trnR,atpA,rbcL
Argyrochosma_microphylla,HQ846476,HQ846374,HQ846423
Astrolepis_windhamii,JF929936,KF961705,KF961768
Myriopteris_aemula—1,KF961828,KF961701,KF961764
Myriopteris_aemula—2,KF961827,KF961700,KF961763
Myriopteris_alabamensis—1,KF961829,KF961702,KF961765
Myriopteris_alabamensis—2,KF961830,KF961703,KF961766
Myriopteris_allosuroides—1,KF961831,KF961704,KF961767
Myriopteris_aurea—1,KF961836,KF961710,KF961773
Myriopteris_aurea—2,KF961835,KF961709,KF961772
Myriopteris_aurea—3,KF961832,KF961706,KF961769
Myriopteris_aurea—4,KF961833,KF961707,KF961770
Myriopteris_aurea—5,KF961834,KF961708,KF961771
Myriopteris_chipinquensis—1,KF961839,KF961714,KF961776
Myriopteris_clevelandii—1,KF961840,KF961715,KF961777
Myriopteris_cooperae—1,KF961841,KF961717,KF961778
Myriopteris_covillei—1,EU268733,EU268733,
Myriopteris_covillei—2,FJ870774,KF961718,KF961779
Myriopteris_cucullans—1,KF961842,KF961719,KF961780
Myriopteris_fendleri—1,FJ870776,KJ000204,KJ000203
Myriopteris_fimbriata—1,KF961846,KF961723,KF961784
Myriopteris_gracilis—1,KF961845,KF961722,KF961783
Myriopteris_gracillima—1,KF961849,KF961726,KF961787
Myriopteris_gracillima—2,KF961848,KF961725,KF961786
Myriopteris_gracillima—3,KF961847,KF961724,KF961785
Myriopteris_intertexta—1,KF961852,KF961729,KF961790
Myriopteris_jamaicensis—1,KF961853,KF961730,KF961791
Myriopteris_lanosa—1,KF961855,KF961732,KF961793
Myriopteris_lanosa—2,KF961856,KF961733,KF961794
Myriopteris_lanosa—3,KF961854,KF961731,KF961792
Myriopteris_lendigera—1,KF961858,KF961735,KF961796
Myriopteris_lendigera—2,KF961859,KF961736,KF961797
Myriopteris_lendigera—3,KF961857,KF961734,KF961795
Myriopteris_lendigera—4,EU268681,EU268735,EU268784
Myriopteris_lindheimeri—1,FJ870779,KF961737,KF961798
Myriopteris_lindheimeri—2,KF961861,KF961739,KF961800
Myriopteris_lindheimeri—3,KF961860,KF961738,KF961860
Myriopteris_longipila—1,KF961862,,KF961801
Myriopteris_marsupianthes—1,KF961864,KF961741,KF961803
Myriopteris_mexicana—1,KF961865,KF961742,KF961804
Myriopteris_mickelii—1,KF961866,KF961743,KF961805
Myriopteris_microphylla—1,KF961867,KF961744,KF961806
Myriopteris_microphylla—2,KF961868,KF961745,KF961807
Myriopteris_microphylla—3,KF961863,KF961740,KF961802
Myriopteris_moritziana—1,KF961869,KF961746,KF961808
Myriopteris_myriophylla—1,KF961870,KF961747,KF961809
Myriopteris_myriophylla—2,KF961871,KF961748,KF961810
Myriopteris_myriophylla—3,KF961872,KF961749,KF961811
Myriopteris_myriophylla—4,EU268684,EU268737,EU268786
Myriopteris_newberryi—1,EU268685,EU268738,EU268787
Myriopteris_notholaenoides—1,KF961873,KF961750,KF961812
Myriopteris_notholaenoides—2,KF961874,KF961751,KF961813
Myriopteris_parryi—1,KF961875,KF961753,KF961815
Myriopteris_peninsularis—1,KF961876,KF961754,KF961816
Myriopteris_pringlei—1,HM003035,HM003027,HM003031
Myriopteris_rawsonii—1,KF961877,KF961756,KF961818
Myriopteris_rufa—1,KF961837,KF961711,KF961774
Myriopteris_rufa—2,KF961844,KF961721,KF961782
Myriopteris_rufa—3,KF961838,KF961713,KF961775
Myriopteris_rufa—4,JQ855901,EF452084,EF452144
Myriopteris_rufa—5,KF961843,KF961720,KF961781
Myriopteris_scabra—1,KF961850,KF961727,KF961788
Myriopteris_scabra—2,KF961851,KF961728,KF961789
Myriopteris_tomentosa—1,KF961878,KF961757,KF961819
Myriopteris_viscida—1,KF961880,KF961759,KF961821
Myriopteris_windhamii—1,KF961881,KF961760,KF961822
Myriopteris_windhamii—2,KF961879,KF961758,KF961820
Myriopteris_wootonii—1,FJ870784,KF961761,KF961823
Myriopteris_wrightii—1,HM003034,HM003026_,HM003030
Myriopteris_yatskievychiana—1,KF961884,KF961712,KF961825
Myriopteris_yavapensis—1,FJ870789,KF961716,KF961826
Paragymnopteris_marantae,EU268711,EU268763,EF42161
Pellaea_atropurpurea,JQ855913,JQ855925,EF452162
